"","LAKEID","LONGITUDE_DD","LATITUDE_DD","Area_ha"
"1","L32173",-80.03361,49.90417,174.9
"2","L21001",-91.68278,48.68028,130.2
"3","L44001",-84.19667,46.91861,279.6
"4","L25002",-90.43111,48.16639,114.1
"5","L44002",-84.30528,47.06,137.3
"6","L21003",-91.34528,48.24806,2993.9
"7","L16005",-91.91222,49.83056,1150.2
"8","L14001",-94.08611,49.62917,163.1
"9","L46007",-79.90639,47.25944,2049.7
"10","L44009",-83.51028,47.07083,92.8
"11","L46008",-80.26833,47.42417,226.2
"12","L13004",-91.83889,49.7275,782.2
"13","L21006",-91.80389,48.25694,956.7
"14","L41008",-82.85056,46.56417,79.3
"15","L25012",-90.20972,48.77306,1806.4
"16","L14005",-93.54861,49.46472,5387.8
"17","L11013",-93.71417,49.86306,105.2
"18","L33007",-81.23306,47.14389,151.8
"19","L51009",-77.84861,45.61333,2014.6
"20","L12012",-92.67972,48.735,1813.1
"21","L52014",-77.99639,45.09917,2226.3
"22","L23002",-87.79833,49.33806,2352.4
"23","L41013",-82.47861,46.92472,1255.1
"24","L56012",-77.83611,45.44778,3798.5
"25","L71002",-79.50444,44.6025,541.8
"26","L41336",-83.385,46.32556,2708.6
"27","L25021",-90.17278,48.44,624.2
"28","L16018",-91.58944,49.99056,385.9
"29","L41017",-83.15222,47.2075,116.2
"30","L23003",-87.60194,49.71583,699.3
"31","L21015",-92.1025,48.54333,2000.8
"32","L25024",-90.84917,48.86194,2252.2
"33","L13014",-90.915,49.81056,4169.6
"34","L53016",-79.03194,45.44556,327.9
"35","L73002",-77.82306,44.49833,758.3
"36","L72003",-80.33583,43.76806,688.3
"37","L13017",-92.1375,49.32028,1135.7
"38","L15017",-93.68778,51.76611,2790.4
"39","L53019",-79.38417,45.73806,2057.7
"40","L21018",-91.56667,48.95389,165.9
"41","L73004",-78.3875,44.57556,201
"42","L66015",-76.90722,44.72583,323.2
"43","L55016",-79.75083,45.7675,162.9
"44","L66017",-76.95667,44.82583,2363.4
"45","L14020",-93.97806,49.95167,134.1
"46","L41220",-82.87778,46.41778,506.4
"47","L61053",-76.21278,44.77083,6479
"48","L16272",-92.35611,49.8225,3820.2
"49","L53024",-79.05417,45.05694,106.5
"50","L16023",-92.35056,51.40694,11823.2
"51","L31020",-83.25333,48.45806,97.3
"52","L14024",-94.08111,49.53889,419
"53","L23007",-88.88056,49.35806,5105.4
"54","L14027",-94.24722,49.66722,496.2
"55","L14028",-94.74306,50.15222,104
"56","L12025",-93.37667,49.17472,520.4
"57","L15020",-92.95056,50.82583,2642.8
"58","L25242",-90.26944,48.42472,123
"59","L64009",-76.58889,44.68444,2449.2
"60","L31024",-83.2975,47.82333,1549.2
"61","L42017",-82.425,46.88139,113.8
"62","L25035",-90.40667,49.72528,1112.7
"63","L66029",-77.04694,45.04944,570.6
"64","L55032",-79.39667,45.42028,265.5
"65","L23012",-87.75167,48.98111,107.5
"66","L73006",-78.39167,44.48889,3188.8
"67","L66032",-77.06917,44.9975,439.3
"68","L23013",-89.22194,50.11083,791.3
"69","L66033",-76.97611,44.68722,113.3
"70","L25038",-90.63028,48.58889,1026.6
"71","L12030",-93.77833,48.95111,1420.5
"72","L64011",-76.555,44.66417,80.8
"73","L22027",-86.73833,49.95222,1761.3
"74","L16037",-91.39056,50.43917,482.2
"75","L24023",-86.94194,48.98917,1032.1
"76","L15025",-94.485,51.71139,5465.6
"77","L56045",-76.74194,45.27833,1315.2
"78","L47052",-84.51972,47.52333,57
"79","L21024",-92.08056,48.77417,2480.9
"80","L34031",-84.27722,49.01083,2663.2
"81","L83024",-81.55861,45.21556,152.9
"82","L73009",-79.04417,44.57028,1083.7
"83","L11033",-93.73917,49.98194,1701.2
"84","L21026",-92.31889,48.47833,199.3
"85","L16040",-91.28,50.62222,1488.6
"86","L31035",-82.69944,48.16722,631.5
"87","L46038",-79.7225,47.07167,757.1
"88","L41050",-83.00222,46.25917,108.3
"89","L54039",-78.32694,44.75083,687.6
"90","L24028",-87.00694,49.17833,326.2
"91","L14045",-93.78361,49.36833,3185.8
"92","L55037",-79.57389,45.64167,770
"93","L13022",-91.39139,49.53944,1615.5
"94","L14046",-93.85944,49.30944,548.4
"95","L61012",-76.01194,44.53611,2517.1
"96","L73011",-78.39306,44.38861,2277.9
"97","L83027",-81.22472,44.55333,197.6
"98","L41054",-83.04917,46.34361,2087.8
"99","L63019",-76.43889,44.80444,645.9
"100","L33035",-81.10778,47.47111,73.7
"101","L25049",-89.01861,49.35972,388
"102","L21031",-91.9875,48.5925,2113.3
"103","L11039",-93.48528,50.04917,3087.8
"104","L43200",-79.78139,46.09833,263.5
"105","L56153",-77.19056,45.44111,1727.1
"106","L21032",-91.96833,49.00333,3609.8
"107","L11040",-93.30083,50.17083,2663.4
"108","L41060",-82.79417,46.63528,84.7
"109","L15031",-93.58972,51.31528,2125.9
"110","L31039",-83.51583,47.91639,1595.9
"111","L15032",-92.69944,51.11889,4174.3
"112","L15033",-94.15111,50.67,1426.2
"113","L15034",-94.03083,50.55917,1125.1
"114","L41064",-83.22556,46.42861,113.3
"115","L73013",-77.82639,44.57444,247.5
"116","L71013",-79.37722,44.67667,4868.4
"117","L25054",-90.61222,48.68028,548.4
"118","L23028",-89.37,49.86722,114.6
"119","L21039",-91.09333,48.78444,1604.2
"120","L14184",-94.23389,49.96389,104.3
"121","L46056",-79.96639,46.87167,1735.4
"122","L66053",-76.80972,44.9125,1677.4
"123","L21040",-91.82778,48.97167,1502.2
"124","L23029",-89.01111,49.92639,246.7
"125","L21041",-91.28278,48.70944,612.7
"126","L13029",-91.16722,49.72972,119
"127","L66056",-77.46056,45.12,55.3
"128","L14059",-94.87972,49.99361,1354.6
"129","L83033",-81.53167,45.23056,70.6
"130","L63027",-76.56972,44.96556,590
"131","L54052",-79.10889,44.64722,1332.5
"132","L11046",-93.83722,49.90861,1599.4
"133","L47081",-85.03,48.78111,1113.6
"134","L43042",-80.2175,46.48194,277.9
"135","L14063",-94.04833,50.09306,1281.8
"136","L42030",-81.90167,46.91444,79.5
"137","L25153",-89.60472,49.20222,1498.7
"138","L25154",-90.51028,48.84917,24112.8
